Id_speciality;code;name_speciality
80201;08.02.01;Строительство и эксплуатация зданий и сооружений
80207;08.02.07;Монтаж и эксплуатация внутренних сантехнических устройств кондиционирования воздуха и вентиляции
80210;08.02.10;Строительство железных дорог путь и путевое хозяйство
90203;09.02.03;Программирование в компьютерных системах
130211;13.02.11;Техническая эксплуатация и обслуживание электрического и электромеханического оборудования по отраслям
150208;15.02.08;Технология машиностроения
190210;19.02.10;Технология продукции общественного питания
230201;23.02.01;Организация перевозок и управление на транспорте по видам
230203;23.02.03;Техническое обслуживание и ремонт автомобильного транспорта
230206;23.02.06;Техническая эксплуатация подвижного состава железных дорог
380204;38.02.04;Коммерция по отраслям
390201;39.02.01;Социальная работа
430206;43.02.06;Сервис на транспорте по видам транспорта
440201;44.02.01;Дошкольное образование
440206;44.02.06;Профессиональное обучение по отраслям
460201;46.02.01;Документационное обеспечение управления и архивоведение
490201;49.02.01;Физическая культура
90201;09.02.01;Компьютерные системы и комплексы
130110;13.01.10;Электромонтер по ремонту и обслуживанию электрооборудования по отраслям
350111;35.01.11;Мастер сельскохозяйственного производства
350115;35.01.15;Электромонтер по ремонту и обслуживанию электрооборудования в сельскохозяйственном производстве
350207;35.02.07;Механизация сельского хозяйства
380102;38.01.02;Продавец контролер-кассир
150105;15.01.05;Сварщик ручной и частично механизированной сварки наплавки
200202;20.02.02;Защита в чрезвычайных ситуациях
200204;20.02.04;Пожарная безопасность
210110;21.01.10;Ремонтник горного оборудования
210218;21.02.18;Обогащение полезных ископаемых
230108;23.01.08;Слесарь по ремонту строительных машин
380203;38.02.03;Операционная деятельность в логистике
430102;43.01.02;Парикмахер
430201;43.02.01;Организация обслуживания в общественном питании
90204;09.02.04;Информационные системы по отраслям
150136;15.01.36;Дефектоскопист
230103;23.01.03;Автомеханик
430109;43.01.09;Повар кондитер
340201;34.02.01;Сестринское дело
380201;38.02.01;Экономика и бухгалтерский учет по отраслям
80125;08.01.25;Мастер отделочных строительных и декоративных работ
80126;08.01.26;Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства
220206;22.02.06;Сварочное производство
150212;15.02.12;Монтаж техническое обслуживание и ремонт промышленного оборудования по отраслям
180205;18.02.05;Производство тугоплавких неметаллических и силикатных материалов и изделий
180201;18.02.01;Аналитический контроль качества химических соединений
90207;09.02.07;Информационные системы и программирование
150125;15.01.25;Станочник металлообработка
150132;15.01.32;Оператор станков с программным управлением
150209;15.02.09;Аддитивные технологии
190102;19.01.02;Лаборант-аналитик
220105;22.01.05;Аппаратчик-оператор в производстве цветных металлов
220205;22.02.05;Обработка металлов давлением
80209;08.02.09;Монтаж наладка и эксплуатация электрооборудования промышленных и гражданских зданий
150201;15.02.01;Монтаж и техническая эксплуатация промышленного оборудования по отраслям
430210;43.02.10;Туризм
80203;08.02.03;Производство неметаллических строительных изделий и конструкций
80206;08.02.06;Строительство и эксплуатация городских путей сообщения
200201;20.02.01;Рациональное использование природохозяйственных комплексов
270203;27.02.03;Автоматика и телемеханика на транспорте железнодорожном транспорте
380207;38.02.07;Банковское дело
430211;43.02.11;Гостиничный сервис
540201;54.02.01;Дизайн по отраслям
230117;23.01.17;Мастер по ремонту и обслуживанию автомобилей
350113;35.01.13;Тракторист-машинист сельскохозяйственного производства
460101;46.01.01;Секретарь
80205;08.02.05;Строительство и эксплуатация автомобильных дорог и аэродромов
230204;23.02.04;Техническая эксплуатация подъемно-транспортных строительных дорожных машин и оборудования по отраслям
80208;08.02.08;Монтаж и эксплуатация оборудования и систем газоснабжения
80211;08.02.11;Управление эксплуатация и обслуживание многоквартирного дома
150214;15.02.14;Оснащение средствами автоматизации технологических процессов и производств по отраслям
210205;21.02.05;Земельно-имущественные отношения
380202;38.02.02;Страховое дело по отраслям
90103;09.01.03;Мастер по обработке цифровой информации
150126;15.01.26;Токарь-универсал
150130;15.01.30;Слесарь
430202;43.02.02;Парикмахерское искусство
110101;11.01.01;Монтажник радиоэлектронной аппаратуры и приборов
240104;24.01.04;Слесарь по ремонту авиационной техники
430204;43.02.04;Прикладная эстетика
380205;38.02.05;Товароведение и экспертиза качества потребительских товаров
350208;35.02.08;Электрификация и автоматизация сельского хозяйства
360201;36.02.01;Ветеринария
360202;36.02.02;Зоотехния
90205;09.02.05;Прикладная информатика по отраслям
150206;15.02.06;Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок по отраслям
150207;15.02.07;Автоматизация технологических процессов и производств по отраслям
150213;15.02.13;Техническое обслуживание и ремонт систем вентиляции и кондиционирования
190203;19.02.03;Технология хлеба кондитерских и макаронных изделий
400201;40.02.01;Право и организация социального обеспечения
400203;40.02.03;Право и судебное администрирование
130201;13.02.01;Тепловые электрические станции
130203;13.02.03;Электрические станции сети и системы
130206;13.02.06;Релейная защита и автоматизация электроэнергетических систем
440202;44.02.02;Преподавание в начальных классах
440203;44.02.03;Педагогика дополнительного образования
150120;15.01.20;Слесарь по контрольно-измерительным приборам и автоматике
230107;23.01.07;Машинист крана крановщик
210208;21.02.08;Прикладная геодезия
210211;21.02.11;Геофизические методы поисков и разведки месторождений полезных ископаемых
210214;21.02.14;Маркшейдерское дело
350114;35.01.14;Мастер по техническому обслуживанию и ремонту машинно-тракторного парка
350216;35.02.16;Эксплуатация и ремонт сельскохозяйственной техники и оборудования
440205;44.02.05;Коррекционная педагогика в начальном образовании
220202;22.02.02;Металлургия цветных металлов
110201;11.02.01;Радиоаппаратостроение
110202;11.02.02;Техническое обслуживание и ремонт радиоэлектронной техники по отраслям
270207;27.02.07;Управление качеством продукции процессов и услуг по отраслям
80108;08.01.08;Мастер отделочных строительных работ
380206;38.02.06;Финансы
400202;40.02.02;Правоохранительная деятельность
430214;43.02.14;Гостиничное дело
430215;43.02.15;Поварское и кондитерское дело
540202;54.02.02;Декоративно-прикладное искусство и народные промыслы по видам
210215;21.02.15;Открытые горные работы
540103;54.01.03;Фотограф
540208;54.02.08;Техника и искусство фотографии
130202;13.02.02;Теплоснабжение и теплотехническое оборудование
220103;22.01.03;Машинист крана металлургического производства
220108;22.01.08;Оператор прокатного производства
220201;22.02.01;Металлургия черных металлов
90206;09.02.06;Сетевое и системное администрирование
230207;23.02.07;Техническое обслуживание и ремонт двигателей систем и агрегатов автомобилей
430203;43.02.03;Стилистика и искусство визажа
430213;43.02.13;Технология парикмахерского искусства
510202;51.02.02;Социально-культурная деятельность по видам
100205;10.02.05;Обеспечение информационной безопасности автоматизированных систем
230109;23.01.09;Машинист локомотива
230205;23.02.05;Эксплуатация транспортного электрооборудования и автоматики по видам транспорта за исключением водного
440204;44.02.04;Специальное дошкольное образование
150210;15.02.10;Мехатроника и мобильная робототехника по отраслям
290105;29.01.05;Закройщик
290107;29.01.07;Портной
290204;29.02.04;Конструирование моделирование и технология швейных изделии
380103;38.01.03;Контролер банка
420201;42.02.01;Реклама
420101;42.01.01;Агент рекламный
70201;07.02.01;Архитектура
80107;08.01.07;Мастер общестроительных работ
80109;08.01.09;Слесарь по строительно-монтажным работам
150123;15.01.23;Наладчик станков и оборудования в механообработке
150203;15.02.03;Техническая эксплуатация гидравлических машин гидроприводов и гидропневмоавтоматики
150129;15.01.29;Контролер станочных и слесарных работ
530201;53.02.01;Музыкальное образование
230106;23.01.06;Машинист дорожных и строительных машин
390101;39.01.01;Социальный работник
80106;08.01.06;Мастер сухого строительства
350203;35.02.03;Технология деревообработки
80124;08.01.24;Мастер столярно-плотничных паркетных и стекольных работ
350212;35.02.12;Садово-парковое и ландшафтное строительство
190104;19.01.04;Пекарь
100201;10.02.01;Организация и технология защиты информации
90202;09.02.02;Компьютерные сети
100203;10.02.03;Информационная безопасность автоматизированных систем
210217;21.02.17;Подземная разработка месторождений полезных ископаемых
430105;43.01.05;Оператор по обработке перевозочных документов на железнодорожном транспорте
210206;21.02.06;Информационные системы обеспечения градостроительной деятельности
430208;43.02.08;Сервис домашнего и коммунального хозяйства
540113;54.01.13;Изготовитель художественных изделий из дерева
540120;54.01.20;Графический дизайнер
80114;08.01.14;Монтажник санитарно-технических вентиляционных систем и оборудования
290129;29.01.29;Мастер столярного и мебельного производства
150133;15.01.33;Токарь на станках с числовым программным управлением
150135;15.01.35;Мастер слесарных работ
150211;15.02.11;Техническая эксплуатация и обслуживание роботизированного производства
180213;18.02.13;Технология производства изделий из полимерных композитов
200101;20.01.01;Пожарный
540102;54.01.02;Ювелир
540114;54.01.14;Резчик
540206;54.02.06;Изобразительное искусство и черчение
540205;54.02.05;Живопись по видам
510201;51.02.01;Народное художественное творчество по видам
530203;53.02.03;Инструментальное исполнительство по видам инструментов
530205;53.02.05;Сольное и хоровое народное пение
530206;53.02.06;Хоровое дирижирование с присвоением квалификаций хормейстер преподаватель
530204;53.02.04;Вокальное искусство
530207;53.02.07;Теория музыки
520204;52.02.04;Актерское искусство
530202;53.02.02;Музыкальное искусство эстрады по видам
510203;51.02.03;Библиотековедение
520203;52.02.03;Цирковое искусство
530208;53.02.08;Музыкальное звукооператорское мастерство
50203;05.02.03;Метеорология
310201;31.02.01;Лечебное дело
310202;31.02.02;Акушерское дело
310203;31.02.03;Лабораторная диагностика
310205;31.02.05;Стоматология ортопедическая
310204;31.02.04;Медицинская оптика
320201;32.02.01;Медико-профилактическое дело
340202;34.02.02;Медицинский массаж для обучения лиц с ограниченными возможностями здоровья по зрению
330201;33.02.01;Фармация
290103;29.01.03;Сборщик обуви
350215;35.02.15;Кинология
350206;35.02.06;Технология производства и переработки сельскохозяйственной продукции
80202;08.02.02;Строительство и эксплуатация инженерных сооружений
110206;11.02.06;Техническая эксплуатация транспортного радиоэлектронного оборудования по видам транспорта
130207;13.02.07;Электроснабжение по отраслям
150204;15.02.04;Специальные машины и устройства
220203;22.02.03;Литейное производство черных и цветных металлов
490202;49.02.02;Адаптивная физическая культура
110214;11.02.14;Электронные приборы и устройства
110209;11.02.09;Многоканальные телекоммуникационные системы
420202;42.02.02;Издательское дело
